iter	RMSE
0	0.3441308266
1	0.3403750084
2	0.337877793
3	0.334592553
4	0.3316874052
5	0.3296764015
6	0.3277933828
7	0.3242816522
8	0.3221265313
9	0.3195358652
10	0.3176510558
11	0.3160133829
12	0.3144063086
13	0.3134269855
14	0.3124844898
15	0.3114174196
16	0.3101853035
17	0.3086503959
18	0.3078992205
19	0.3070996668
20	0.3062673512
21	0.3057756642
22	0.3051877847
23	0.3048195446
24	0.3043591669
25	0.3038772754
26	0.3034975031
27	0.3029675123
28	0.3027129726
29	0.3022721718
30	0.3018619712
31	0.3016887726
32	0.3016863286
33	0.301209965
34	0.3008237998
35	0.3004946301
36	0.298794964
37	0.2980955106
38	0.2974629148
39	0.2972950589
40	0.2967767143
41	0.2965283219
42	0.2961801449
43	0.2959383715
44	0.295677787
45	0.2949747158
46	0.2948199667
47	0.2946663685
48	0.2943817535
49	0.2942477244
50	0.2941382014
51	0.2940296508
52	0.2938549522
53	0.2935946284
54	0.2934119257
55	0.2933388777
56	0.2924425591
57	0.2923694997
58	0.2922726378
59	0.2916369644
60	0.2915079583
61	0.2913959056
62	0.2910861627
63	0.2908540728
64	0.2907676159
65	0.2906122267
66	0.2904477313
67	0.2897141245
68	0.2895539078
69	0.2894336623
70	0.2893166812
71	0.2890450007
72	0.2887202146
73	0.2883908615
74	0.2880795888
75	0.287778455
76	0.2876770859
77	0.2874876408
78	0.2872410443
79	0.2867779788
80	0.2866590859
81	0.2864074579
82	0.2863102853
83	0.2860206379
84	0.2859866525
85	0.2855788669
86	0.2854721363
87	0.2852608033
88	0.2846737868
89	0.2844990292
90	0.2844625119
91	0.2843959949
92	0.2842154922
93	0.2841560762
94	0.2830113022
95	0.2828966398
96	0.2828405703
97	0.2827175132
98	0.2825653325
99	0.2821421906
100	0.2819581418
101	0.2816915485
102	0.2815101943
103	0.2813263917
104	0.2812438703
105	0.2811121239
106	0.2805440804
107	0.2803628059
108	0.2802063425
109	0.2800878271
110	0.2799424926
111	0.279581317
112	0.2794565817
113	0.2793699556
114	0.2791563762
115	0.2790211684
116	0.2788579108
117	0.2787910696
118	0.2787404087
119	0.2785121007
120	0.2781895182
121	0.2780525107
122	0.2779096592
123	0.2777967756
124	0.2776638742
125	0.2774313163
126	0.2772469582
127	0.277102955
128	0.2769984896
129	0.2769387738
130	0.2767976125
131	0.2765588181
132	0.2763301406
133	0.2762463418
134	0.2760683769
135	0.2759617574
136	0.2758390439
137	0.2753007823
138	0.2750964643
139	0.2749864363
140	0.2747915696
141	0.2745363874
142	0.2744273973
143	0.2740400064
144	0.2737401457
145	0.2734708862
146	0.27330932
147	0.2732148939
148	0.2728635001
149	0.2727726757
150	0.2726329168
151	0.2722008431
152	0.2720952152
153	0.2719577701
154	0.2718202978
155	0.2718159654
156	0.2717034286
157	0.2715978926
158	0.2711855854
159	0.2710915166
160	0.2708423186
161	0.2707543162
162	0.2706002989
163	0.270521889
164	0.270153551
165	0.2700749771
166	0.2696855447
167	0.2695334909
168	0.2692943821
169	0.2691072265
170	0.2689369374
171	0.2687707553
172	0.2686256309
173	0.2685674614
174	0.2683406961
175	0.2682766242
176	0.2681499429
177	0.2680722656
178	0.2680538755
179	0.2679374323
180	0.2676591269
181	0.2675392863
182	0.2674058175
183	0.2672309687
184	0.2671486362
185	0.266989188
186	0.2669617211
187	0.2667041457
188	0.2664841721
189	0.2663872688
190	0.2662368899
191	0.2659988368
192	0.2659268027
193	0.2657642779
194	0.2656891741
195	0.2655662701
196	0.2654376994
197	0.2653970284
198	0.2653667477
199	0.2653499454
