iter	Passed	Remaining
0	10	2142
1	28	2808
2	47	3144
3	58	2888
4	66	2586
5	71	2326
6	82	2277
7	87	2102
8	91	1933
9	93	1785
10	98	1692
11	100	1580
12	104	1504
13	107	1433
14	111	1374
15	116	1336
16	120	1291
17	123	1246
18	126	1203
19	130	1177
20	133	1141
21	137	1109
22	141	1090
23	145	1066
24	149	1045
25	154	1030
26	158	1016
27	163	1004
28	166	983
29	169	963
30	174	949
31	176	928
32	178	901
33	181	885
34	186	880
35	192	875
36	199	878
37	205	876
38	211	873
39	215	862
40	221	860
41	224	844
42	229	836
43	232	825
44	237	817
45	242	812
46	246	801
47	249	791
48	257	794
49	263	790
50	267	782
51	273	777
52	277	769
53	281	760
54	286	756
55	292	751
56	297	745
57	301	739
58	308	737
59	314	733
60	319	728
61	322	718
62	326	711
63	331	704
64	335	695
65	342	695
66	346	688
67	353	687
68	361	686
69	367	682
70	374	680
71	380	676
72	385	671
73	396	674
74	408	681
75	423	690
76	437	698
77	464	726
78	477	731
79	485	728
80	491	722
81	496	714
82	502	708
83	517	715
84	521	705
85	530	703
86	545	708
87	561	714
88	567	707
89	572	699
90	576	690
91	581	682
92	586	675
93	591	667
94	597	660
95	603	654
96	608	646
97	613	638
98	618	630
99	622	622
100	626	614
101	632	607
102	636	599
103	642	593
104	649	587
105	653	579
106	659	573
107	663	565
108	668	557
109	673	551
110	679	544
111	684	538
112	689	530
113	695	524
114	699	517
115	703	509
116	709	503
117	714	496
118	717	488
119	722	481
120	726	474
121	734	469
122	738	462
123	745	456
124	752	451
125	759	445
126	766	440
127	772	434
128	779	428
129	785	422
130	791	416
131	797	410
132	800	403
133	808	397
134	814	392
135	821	386
136	826	379
137	832	374
138	837	367
139	845	362
140	853	357
141	859	351
142	865	344
143	870	338
144	876	332
145	882	326
146	890	321
147	897	315
148	904	309
149	912	304
150	919	298
151	925	292
152	932	286
153	940	280
154	949	275
155	954	269
156	961	263
157	965	256
158	971	250
159	977	244
160	986	238
161	994	233
162	1000	227
163	1008	221
164	1015	215
165	1019	208
166	1026	202
167	1032	196
168	1040	190
169	1047	184
170	1053	178
171	1058	172
172	1064	166
173	1068	159
174	1074	153
175	1117	152
176	1123	146
177	1130	139
178	1138	133
179	1142	126
180	1147	120
181	1153	114
182	1158	107
183	1164	101
184	1169	94
185	1175	88
186	1181	82
187	1190	75
188	1196	69
189	1203	63
190	1207	56
191	1212	50
192	1216	44
193	1221	37
194	1227	31
195	1234	25
196	1240	18
197	1246	12
198	1254	6
199	1256	0
